Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
,,Dead,17,1521,131.846,48,222,,,
,,Dead,18,1686,88.126,38,219,,,
,,Dead,19,8668,88.32,35,182,,,
,,Dead,20,28623,84.925,32,193,,,
,,Dead,21,2388,87.936,39,195,,,
,,Dead,22,1188,105.106,35,165,,,
,,Dead,23,2361,138.278,68,227,,,
,,Dead,24,16814,96.228,35,245,,,
,,Dead,25,8681,102.793,32,224,,,
,,Dead,26,18152,111.153,35,241,,,
,,Dead,27,44528,97.368,31,240,,,
,,Dead,28,35524,108.297,37,239,,,
,,Dead,29,36471,132.232,42,241,,,
,,Dead,30,21805,111.789,39,228,,,
,,Dead,31,5012,98.824,43,189,,,
,,Dead,32,5942,126.432,54,234,,,
,,Dead,33,4116,138.543,62,229,,,
,,Dead,34,8261,128.606,47,241,,,
,,Dead,35,1833,174.719,73,250,,,
,,Dead,36,9638,127.104,51,243,,,
,,Dead,37,1373,128.514,57,239,,,
,,Dead,38,1320,159.65,48,243,,,
,,Dead,39,14714,98.381,42,238,,,
,,Dead,40,12727,125.073,46,239,,,
203,2016-02-04,Alive,1,1460078,105.618,14,255,1442113,519021,0.640096858
,,No count,2,3855,141.99,37,251,,,
,,No count,3,14110,79.544,19,245,,,
,,Dead,4,59029,145.766,36,255,,,
,,Dead,5,24444,83.309,27,234,,,
,,Dead,6,52080,76.804,20,240,,,
,,Dead,7,10954,106.764,24,245,,,
,,Dead,8,13268,122.012,29,234,,,
,,Dead,9,2667,163.132,44,231,,,
,,Dead,10,1007,121.15,40,170,,,
,,Dead,11,1259,117.566,34,212,,,
,,Dead,12,2119,155.196,27,250,,,
,,Dead,13,20018,91.898,17,251,,,
,,Dead,14,35559,134.136,29,255,,,
,,Dead,15,2919,161.294,39,238,,,
,,Dead,16,1084,131.521,43,221,,,
,,Dead,17,6079,111.143,35,226,,,
,,Dead,18,27397,148.402,46,242,,,
,,Dead,19,14108,164.559,55,251,,,
,,Dead,20,61218,107.05,23,255,,,
,,Dead,21,133866,142.068,35,254,,,
,,Dead,22,8888,137.398,50,238,,,
,,Dead,23,6510,143.548,63,252,,,
,,Dead,24,2036,148.907,52,240,,,
,,Dead,25,782,160.175,67,215,,,
,,Dead,26,408,176.586,53,236,,,
,,Dead,27,10195,100.152,36,231,,,
,,Dead,28,3800,70.801,16,153,,,
,,Dead,29,10974,86.361,24,242,,,
,,Dead,30,1992,130.98,49,224,,,
,,Dead,31,2907,104.444,34,228,,,
,,Dead,32,1454,111.303,37,217,,,
203,2016-03-24,Alive,1,2649066,100.456,3,255,2627007,546261,0.792059557
,,No count,2,5099,190.162,19,255,,,
,,No count,3,16960,196.874,49,255,,,
,,Dead,4,6209,131.325,39,230,,,
,,Dead,5,5302,66.449,25,187,,,
,,Dead,6,83939,94.986,16,254,,,
,,Dead,7,1312,113.181,32,199,,,
,,Dead,8,8722,100.799,29,182,,,
,,Dead,9,3038,119.969,31,172,,,
,,Dead,10,15032,139.948,30,252,,,
,,Dead,11,3078,102.617,19,192,,,
,,Dead,12,11090,106.049,22,220,,,
,,Dead,13,8797,56.323,19,131,,,
,,Dead,14,1684,94.131,24,244,,,
,,Dead,15,2944,106.731,27,233,,,
,,Dead,16,2143,194.513,53,244,,,
,,Dead,17,2227,148.138,36,226,,,
,,Dead,18,1579,99.427,37,171,,,
,,Dead,19,72184,94.999,25,240,,,
,,Dead,20,11649,129.851,46,239,,,
,,Dead,21,4865,150.147,44,255,,,
,,Dead,22,5024,135.541,30,221,,,
,,Dead,23,5112,147.008,35,255,,,
,,Dead,24,22536,162.546,35,255,,,
,,Dead,25,1546,147.067,44,253,,,
,,Dead,26,10040,145.472,32,255,,,
,,Dead,27,35541,122.465,16,255,,,
,,Dead,28,18204,118.92,21,255,,,
,,Dead,29,9015,95.062,28,246,,,
,,Dead,30,31023,103.434,24,254,,,
,,Dead,31,4167,149.593,28,255,,,
,,Dead,32,6954,133.07,35,254,,,
,,Dead,33,997,119.766,36,239,,,
,,Dead,34,4446,115.607,33,254,,,
,,Dead,35,14828,121.41,31,255,,,
,,Dead,36,1687,100.356,33,243,,,
,,Dead,37,38260,163.814,33,255,,,
,,Dead,38,13669,135.04,31,246,,,
,,Dead,39,36319,137.849,24,255,,,
,,Dead,40,40572,104.135,22,255,,,
,,Dead,41,527,174.118,47,253,,,
203,2016-05-31,Alive,1,2476500,109.558,26,255,2430550,369894,0.847814692
,,No count,2,6846,171.848,56,255,,,
,,No count,3,39104,162.953,51,255,,,
,,Dead,4,2699,133.281,51,219,,,
,,Dead,5,1599,141.759,54,221,,,
,,Dead,6,10276,132.228,53,241,,,
,,Dead,7,32558,128.746,51,236,,,
,,Dead,8,107174,128.475,44,253,,,
,,Dead,9,16920,147.19,56,240,,,
,,Dead,10,17397,141.145,54,252,,,
,,Dead,11,1031,156.606,78,244,,,
,,Dead,12,14550,109.455,42,237,,,
,,Dead,13,7398,127.217,36,238,,,
,,Dead,14,1720,115.874,52,189,,,
,,Dead,15,5219,157.174,60,241,,,
